Date,Open,High,Low,Close,Adj Close,Volume
2008-03-24,124.050003,126.099998,123.959999,125.339996,93.950294,15254400
2008-03-25,125.389999,125.610001,124.400002,125.129997,93.792847,12026000
2008-03-26,124.790001,124.800003,123.680000,123.919998,92.885895,12733600
2008-03-27,124.559998,124.699997,122.830002,123.150002,92.308708,17362000
2008-03-28,123.430000,123.709999,121.870003,122.230003,91.619164,11109600
2008-03-31,121.900002,123.169998,121.680000,122.400002,91.746536,11656500
2008-04-01,123.889999,126.459999,123.849998,126.070000,94.497452,21137400
2008-04-02,126.360001,126.870003,125.449997,126.190002,94.587448,13766400
2008-04-03,125.529999,126.639999,125.220001,126.330002,94.692337,11471000
2008-04-04,126.290001,126.809998,125.199997,126.099998,94.519928,12506400
2008-04-07,126.760002,127.220001,125.750000,126.050003,94.482452,12892400
2008-04-08,125.419998,126.129997,125.239998,126.129997,94.542465,12876400
2008-04-09,126.050003,126.199997,124.669998,125.650002,94.182655,15037200
2008-04-10,125.510002,126.470001,124.989998,125.949997,94.407478,14355000
2008-04-11,124.550003,124.699997,123.010002,123.339996,92.451172,16743600
2008-04-14,123.320000,123.680000,122.790001,123.169998,92.323662,11704000
2008-04-15,123.750000,123.839996,122.699997,123.480003,92.556084,12532000
2008-04-16,124.529999,126.650002,124.519997,126.639999,94.924706,16747600
2008-04-17,125.800003,126.699997,125.660004,126.699997,94.969673,13292100
2008-04-18,127.959999,128.830002,127.760002,127.860001,95.957306,16943700
2008-04-21,127.739998,128.339996,127.410004,128.029999,96.084915,10797300
2008-04-22,127.750000,127.849998,126.440002,127.370003,95.589577,10086600
2008-04-23,127.489998,128.240005,126.910004,127.300003,95.537025,10443200
2008-04-24,127.769997,129.309998,126.940002,128.100006,96.137459,14614800
2008-04-25,128.910004,128.940002,127.320000,128.800003,96.662827,12363400
2008-04-28,128.880005,129.279999,127.690002,128.789993,96.655266,7899600
2008-04-29,128.380005,128.789993,127.940002,128.179993,96.197472,7316400
2008-04-30,128.529999,129.979996,128.000000,128.190002,96.204994,17717200
2008-05-01,128.000000,130.179993,127.919998,129.960007,97.533363,18314000
2008-05-02,131.289993,131.289993,129.729996,130.729996,98.111229,12615000
2008-05-05,130.380005,130.500000,129.330002,129.630005,97.285645,8222000
2008-05-06,129.100006,130.399994,128.580002,130.250000,97.750977,12113800
2008-05-07,130.270004,130.369995,128.000000,128.399994,96.362541,13406000
2008-05-08,128.619995,129.100006,127.970001,128.240005,96.242477,11522500
2008-05-09,127.660004,128.029999,127.199997,127.500000,95.687157,9167500
2008-05-12,127.820000,129.100006,127.529999,128.759995,96.632774,9112600
2008-05-13,128.979996,128.990005,127.900002,128.410004,96.370071,8277600
2008-05-14,128.779999,130.080002,128.750000,129.000000,96.812897,11792400
2008-05-15,129.000000,130.199997,128.750000,130.050003,97.600922,9122400
2008-05-16,130.020004,130.020004,128.800003,129.600006,97.509102,9774400
2008-05-19,129.710007,131.259995,129.509995,130.229996,97.983124,10824800
2008-05-20,129.520004,129.559998,127.690002,128.309998,96.538521,12598800
2008-05-21,128.429993,128.559998,125.660004,126.059998,94.845673,16509500
2008-05-22,126.120003,126.650002,125.879997,126.019997,94.815559,10846800
2008-05-23,125.629997,125.809998,124.570000,124.610001,93.754715,10704000
2008-05-27,124.870003,125.680000,124.370003,125.430000,94.371635,9471600
2008-05-28,125.769997,126.000000,124.910004,125.839996,94.680122,8868400
2008-05-29,125.680000,127.230003,125.489998,126.230003,94.973564,12096800
2008-05-30,126.699997,126.849998,125.900002,126.129997,94.898293,8060400
2008-06-02,125.980003,126.000000,124.239998,125.160004,94.168526,13444200
2008-06-03,125.389999,125.529999,123.410004,123.959999,93.265648,18030600
2008-06-04,123.820000,125.040001,123.480003,123.989998,93.288208,14257600
2008-06-05,124.349998,126.250000,124.120003,126.110001,94.883278,13042000
2008-06-06,125.180000,125.220001,121.959999,122.120003,91.881279,24015200
2008-06-09,122.389999,123.440002,122.080002,122.959999,92.513260,16553700
2008-06-10,122.250000,123.809998,122.209999,122.959999,92.513260,14819800
2008-06-11,122.680000,122.720001,120.980003,121.050003,91.076210,19598200
2008-06-12,121.559998,122.849998,120.930000,121.629997,91.512573,17194500
2008-06-13,121.989998,123.320000,121.769997,123.099998,92.618561,15354800
2008-06-16,122.529999,123.370003,122.250000,122.660004,92.287575,11578600
2008-06-17,123.379997,123.430000,121.610001,121.930000,91.738281,15301000
2008-06-18,121.300003,121.550003,120.080002,120.330002,90.534500,18091600
2008-06-19,120.550003,121.320000,119.940002,120.629997,90.760193,20644400
2008-06-20,119.610001,119.709999,118.089996,118.239998,89.160843,21836600
2008-06-23,118.620003,118.760002,118.040001,118.330002,89.228691,13844000
2008-06-24,118.040001,118.949997,117.160004,117.940002,88.934586,19038300
2008-06-25,118.199997,119.129997,117.779999,117.910004,88.912010,18907600
2008-06-26,117.010002,117.059998,114.440002,114.669998,86.468857,28987900
2008-06-27,114.570000,114.739998,112.860001,113.459999,85.556419,25276000
2008-06-30,113.480003,114.269997,112.750000,113.419998,85.526291,21139100
2008-07-01,112.379997,114.029999,111.760002,113.769997,85.790138,32398600
2008-07-02,113.779999,114.260002,112.029999,112.150002,84.568565,24730000
2008-07-03,112.809998,113.320000,111.480003,113.050003,85.247200,20496600
2008-07-07,113.169998,113.919998,111.139999,112.209999,84.613800,27897300
2008-07-08,112.250000,113.900002,111.739998,113.739998,85.767509,31553000
2008-07-09,114.050003,114.199997,111.449997,111.660004,84.199059,24306400
2008-07-10,111.610001,112.709999,110.870003,112.220001,84.621338,32957200
2008-07-11,111.139999,112.440002,109.779999,111.000000,83.701370,35470100
2008-07-14,112.169998,112.389999,110.050003,110.500000,83.324356,26009300
2008-07-15,109.760002,111.260002,108.320000,109.300003,82.419441,41112400
